id,subject,topic,difficulty,question,A,B,C,D,correct
1,C Programming,Basics,easy,What does 'C' in the C programming language stand for?,None,No full form,None,None,B
2,C Programming,Basics,easy,Which symbol is used to end a statement in C?,.,;,:,",",B
3,C Programming,Basics,easy,Which function is used to print output to the console in C?,scanf,printf,input,cout,B
4,C Programming,Basics,easy,Which header file is needed for printf and scanf?,<stdio.h>,<conio.h>,<math.h>,<string.h>,A
5,C Programming,Basics,easy,Which data type is used to store integer values?,float,char,int,double,C
6,C Programming,Loops,easy,Which loop executes a block of code while a condition is true?,for,while,switch,if,B
7,C Programming,Loops,easy,How many times will 'for(int i=0;i<3;i++)' loop run?,2,3,4,Infinite,B
8,C Programming,Arrays,easy,Indexing in C arrays starts from?,0,1,-1,Depends,A
9,C Programming,Arrays,easy,How to declare an array of 10 ints?,int a[10];,int a;,array a[10];,int a();,A
10,C Programming,Functions,easy,Which keyword is used to return a value from a function?,break,return,exit,stop,B
11,C Programming,Pointers,easy,What does a pointer store?,A value,An address,A file,A function,B
12,C Programming,Pointers,easy,How to declare a pointer to int?,int p;,int *p;,int &p;,pointer<int> p;,B
13,C Programming,File Handling,easy,Which mode opens file for reading?,r,w,a,rw,A
14,C Programming,Basics,easy,Which operator is used for assignment?,==,=,!=,<=,B
15,C Programming,Basics,easy,Which of these is not a C keyword?,int,main,return,if,B
16,C Programming,Basics,moderate_1,What is the size of 'int' typically on a 32-bit system?,2 bytes,4 bytes,8 bytes,Depends,B
17,C Programming,Loops,moderate_1,"What will be output: 'printf(""%d"", 5/2);' ?",2,2.5,3,Error,A
18,C Programming,Arrays,moderate_1,Which function to get length of string?,strlen,strsize,size,length,A
19,C Programming,Functions,moderate_1,"What is a prototype of function 'int add(int, int);' used for?",Define function,Declare function signature,Call function,None,B
20,C Programming,Pointers,moderate_1,What is NULL in pointers?,Zero address,Some value,Invalid pointer constant,Both A and C,D
21,C Programming,File Handling,moderate_1,Which function is used to write a line to a file?,fputs,puts,putsfile,fprintf,A
22,C Programming,Basics,moderate_1,"What is the output: 'printf(""%c"", 'A');' ?",A,'A',65,Error,A
23,C Programming,Loops,moderate_1,What does 'break' do in loops?,Continue to next,Exit loop,Restart loop,Pause loop,B
24,C Programming,Arrays,moderate_1,Which declaration creates a 2D array 3x3?,int a[3];,int a[3][3];,"int a(3,3);",int a[][];,B
25,C Programming,Functions,moderate_1,What is recursion?,Function calls itself,Multiple functions,Loop inside function,None,A
26,C Programming,Pointers,moderate_1,Can you have pointer to pointer?,Yes,No,Only in C++,Depends,A
27,C Programming,File Handling,moderate_1,Which returns EOF on failure from fgetc?,-1,0,NULL,1,A
28,C Programming,Basics,moderate_1,Which header is for malloc and free?,<stdlib.h>,<malloc.h>,<memory.h>,<alloc.h>,A
29,C Programming,Basics,moderate_1,What does 'sizeof' operator return?,Size in bits,Size in bytes,Number of elements,Type name,B
30,C Programming,Arrays,moderate_1,What is index of last element in array of size n?,n,n-1,1,0,B
31,C Programming,Pointers,moderate_2,"What is result of 'int a=10; int *p=&a; *p=20; printf(""%d"", a);' ?",10,20,Garbage,Compile error,B
32,C Programming,Functions,moderate_2,What is call by value?,Passes address,Passes copy of value,Pass by reference,No passing,B
33,C Programming,Arrays,moderate_2,"What is wrong: 'char s[] = ""Hello""; s[0] = 'h';' ?",Valid,Invalid,Runtime error,Compile error,A
34,C Programming,Loops,moderate_2,"What is output: 'for(int i=0;i<3;i++) printf(""%d"", i++);' ?",0 1 2,0 2,0 1 2 3,0 1,B
35,C Programming,File Handling,moderate_2,Which mode appends to a file?,w,r,a,rw,C
36,C Programming,Pointers,moderate_2,Which prints address of variable?,"printf(""%d"", &a);","printf(""%p"", &a);","printf(""%x"", a);","printf(""%s"", &a);",B
37,C Programming,Functions,moderate_2,What is 'static' before a function?,Global visibility,Internal linkage (file scope),Inline function,No effect,B
38,C Programming,Arrays,moderate_2,Which function copies string s2 to s1?,strcopy,strcpy,copystr,strncpy,B
39,C Programming,Basics,moderate_2,"What is output: 'printf(""%d"", ++i);' when i starts 0?",0,1,Undefined,Error,B
40,C Programming,Pointers,moderate_2,What does '&' operator do?,Dereference,Address-of,Multiply,Bitwise AND,B
41,C Programming,Functions,moderate_2,What is prototype mismatch?,Different return type or params,Same signature,Duplicate function,Compile time warning only,A
42,C Programming,File Handling,moderate_2,Which function opens file and returns pointer?,open,fopen,fileopen,fptr,B
43,C Programming,Basics,moderate_2,What is preprocessor directive?,#include or #define,int main,printf,malloc,A
44,C Programming,Loops,moderate_2,What is infinite loop of for?,for(;;),for(;1;),while(1),All of above,D
45,C Programming,Arrays,moderate_2,What function compares two strings?,strcmp,strcomp,cmpstr,compare,A
46,C Programming,Pointers,hard,What is segmentation fault?,Logical error,Access invalid memory,Compile error,Linker error,B
47,C Programming,Functions,hard,Why use inline functions?,Reduce function call overhead,Increase security,Simpler syntax,Automatic memory,A
48,C Programming,Pointers,hard,What is pointer arithmetic: p+1 moves by,1 byte,size of pointed type,One bit,Undefined,B
49,C Programming,Arrays,hard,What is dynamic memory allocation function?,alloc,malloc,new,create,B
50,C Programming,File Handling,hard,How to read formatted input from file?,fscanf,fgets,fread,scanffile,A
51,C Programming,Basics,hard,What is undefined behavior?,Well defined,Behavior not specified by C standard,Runtime error only,Compiler error only,B
52,C Programming,Loops,hard,What does 'continue' do?,Exit loop,Skip remaining and next iteration,Restart program,None,B
53,C Programming,Functions,hard,Which stores local values across calls?,auto,register,static,extern,C
54,C Programming,Pointers,hard,What is void pointer?,Pointer to void (no type),Pointer to int,Null pointer,Function pointer,A
55,C Programming,Arrays,hard,What is advantage of dynamic array?,Fixed size,Resizable at runtime,Faster access,Simpler code,B
56,C Programming,Basics,hard,Which converts string to integer?,atoi,atof,strtol,strcpy,A
57,C Programming,Pointers,hard,What happens when free() used twice?,Double free error,Safe,Nothing,Memory leak,A
58,C Programming,Functions,hard,What is varargs?,Variable arguments in function,Multiple returns,Variable types,None,A
59,C Programming,File Handling,hard,Which reads binary data?,fread,fscanf,fgets,fopen,A
60,C Programming,Advanced,hard,Which header for math functions?,<math.h>,<stdio.h>,<string.h>,<stdlib.h>,A
61,AT,Introduction,easy,Automata Theory deals with?,Hardware design,Formal languages and computation,Databases,Operating systems,B
62,AT,Introduction,easy,DFA stands for?,Deterministic Finite Automaton,Deterministic Flow Algorithm,Data Flow Analysis,Direct Finite Approach,A
63,AT,Introduction,easy,Alphabet in automata is?,Infinite set,Finite set of symbols,Grammar,Word set,B
64,AT,Introduction,easy,String is?,Subset of language,Sequence of symbols from alphabet,Grammar rule,Automaton state,B
65,AT,Finite Automata,easy,DFA has?,Multiple transitions for same input,Single transition per input,No transitions,Multiple start states,B
66,AT,Finite Automata,easy,NFA differs from DFA because?,NFA has multiple transitions for same input,NFA is slower,DFA is nondeterministic,None,A
67,AT,Finite Automata,easy,?-transition is allowed in?,DFA,NFA,Both,None,B
68,AT,Regular Expressions,easy,Regular expression represents?,Context-free language,Regular language,Recursive language,Finite grammar,B
69,AT,Regular Expressions,easy,(a+b)* denotes?,a or b only,"all strings over {a,b}",a followed by b,only ?,B
70,AT,Regular Expressions,easy,Regular expression for even number of a’s?,(baba)*,(a+b)*a,ab,aba,A
71,AT,Grammar,easy,Grammar is used to generate?,Languages,Tokens,States,Alphabets,A
72,AT,Grammar,easy,CFG stands for?,Context Free Grammar,Code Format Generator,Computation Function Graph,Central Finite Grammar,A
73,AT,Grammar,easy,Terminals in grammar are?,Non-replaceable symbols,Replaceable symbols,Variables,None,A
74,AT,Grammar,easy,Start symbol is used to?,End grammar,Begin derivation,Define alphabet,Convert states,B
75,AT,Finite Automata,easy,Number of states in minimal DFA is?,Maximum possible,Minimum possible,Random,Fixed,B
76,AT,Finite Automata,moderate_1,NFA can be converted to?,DFA,CFG,PDA,Turing Machine,A
77,AT,Finite Automata,moderate_1,DFA accepts input if?,Ends in final state,Starts at final state,Contains ?,All inputs,A
78,AT,Finite Automata,moderate_1,Regular language is closed under?,Union,Intersection,Complement,All,D
79,AT,Finite Automata,moderate_1,Two DFAs are equivalent if they?,Accept same language,Have same states,Have same transitions,Use same alphabet,A
80,AT,Finite Automata,moderate_1,Language of DFA is?,Set of accepted strings,Set of rejected strings,Union of alphabets,None,A
81,AT,Regular Expressions,moderate_1,? represents?,Empty string,Empty set,Null state,Invalid input,A
82,AT,Regular Expressions,moderate_1,Regular expression for all strings ending with a?,(a+b)*a,ab,a(a+b)*,b*a,A
83,AT,Regular Expressions,moderate_1,Regular expression (a,b)*abb represents?,Strings ending with abb,Strings starting with abb,Only abb,B
84,AT,Grammar,moderate_1,Chomsky hierarchy has how many types of grammars?,2,3,4,5,C
85,AT,Grammar,moderate_1,Type 2 grammar corresponds to?,Regular,Context-Free,Context-Sensitive,Unrestricted,B
86,AT,Grammar,moderate_1,Type 0 grammar corresponds to?,Unrestricted,Regular,Context-Free,Finite,A
87,AT,PDA,moderate_1,PDA uses?,Stack,Queue,Tape,Register,A
88,AT,PDA,moderate_1,PDA accepts?,Context-free languages,Regular languages,Recursive languages,All,A
89,AT,PDA,moderate_1,"In PDA, stack helps in?",Memory storage,Non-determinism,Handling nested structures,Tokenizing input,C
90,AT,PDA,moderate_1,Deterministic PDA is?,Less powerful than NPDA,More powerful,Equivalent,None,A
91,AT,PDA,moderate_2,PDA can be converted to?,CFG,DFA,Turing Machine,None,A
92,AT,Turing Machine,moderate_2,Turing Machine has?,Tape,Stack,Queue,Memory block,A
93,AT,Turing Machine,moderate_2,Turing Machine is more powerful than PDA because it has?,Infinite memory,Stack,Input tape,Grammar,A
94,AT,Turing Machine,moderate_2,Recursive languages are?,Decidable,Undecidable,Regular,Context-free,A
95,AT,Turing Machine,moderate_2,Recursively enumerable languages are accepted by?,Turing Machine,PDA,DFA,NFA,A
96,AT,Grammar,moderate_2,Ambiguous grammar means?,Two parse trees for same string,No parse tree,Single derivation,None,A
97,AT,Grammar,moderate_2,Left recursion occurs when?,Non-terminal calls itself on left,Calls itself on right,Calls other symbols,None,A
98,AT,Grammar,moderate_2,Removing left recursion helps in?,Top-down parsing,Bottom-up parsing,DFA conversion,None,A
99,AT,Grammar,moderate_2,Derivation tree represents?,Structure of derivation,Automaton transitions,Grammar size,None,A
100,AT,Grammar,moderate_2,Sentential form is?,Intermediate form in derivation,Final string,Terminal only,None,A
101,AT,Turing Machine,hard,Universal Turing Machine can?,Simulate any other TM,Accept regular languages only,Perform arithmetic only,None,A
102,AT,Turing Machine,hard,Halting problem is?,Undecidable,Decidable,Recursive,Regular,A
103,AT,Turing Machine,hard,Turing recognizable means?,TM halts for accepted strings,TM halts for rejected strings,TM never halts,None,A
104,AT,Turing Machine,hard,Recursive languages are?,Both recognizable and decidable,Only recognizable,Only undecidable,None,A
105,AT,Grammar,hard,Context-sensitive languages are accepted by?,Linear bounded automaton,PDA,DFA,NFA,A
106,AT,Grammar,hard,Type-1 grammar generates?,Context-sensitive language,Context-free,Regular,Recursive,A
107,AT,Grammar,hard,Grammar without left recursion is good for?,Predictive parsing,Shift-reduce parsing,Random parsing,None,A
108,AT,Finite Automata,hard,DFA minimization removes?,Equivalent states,Final states,Start states,None,A
109,AT,Finite Automata,hard,Two states are equivalent if they?,Lead to same acceptance behavior,Have same names,Are final,None,A
110,AT,Regular Expressions,hard,Regular languages are closed under?,"Union, Concatenation, Kleene star",Only union,Only intersection,None,A
111,AT,Regular Expressions,hard,Which is not regular?,a?b?,(a+b)*,(ab)*,a*,A
112,AT,Regular Expressions,hard,Regular language can be recognized by?,DFA,PDA,TM,Grammar only,A
113,AT,PDA,hard,PDA accepts by?,Final state or empty stack,Tape,Queue,Transition,A
114,AT,Turing Machine,hard,Turing Machine halts when?,No applicable transition,End of tape,Stack empty,None,A
115,AT,Decidability,hard,Decidable problem means?,Solution by TM in finite time,Infinite loop,Unsolvable,None,A
116,AT,Decidability,hard,Undecidable problem means?,No algorithm can solve it,TM always halts,Recursive,None,A
117,AT,Decidability,hard,Which problem is undecidable?,Halting,Palindrome,Even number,Prime,A
118,AT,Hierarchy,hard,Regular ? CFL ? CSL ??,Recursively Enumerable,Regular,Recursive,Finite,A
119,AT,Hierarchy,hard,Which language class is most powerful?,Regular,Context-Free,Context-Sensitive,Recursively Enumerable,D
120,AT,Applications,hard,Automata theory is mainly used in?,Compiler design & pattern matching,Database recovery,File systems,OS design,A
121,Python,Basics,easy,Python is which type of language?,Interpreted,Compiled,Assembly,Machine,A
122,Python,Basics,easy,Which symbol is used to comment a line?,#,//,<!--,*,A
123,Python,Basics,easy,Which function displays output?,display(),print(),output(),show(),B
124,Python,Basics,easy,Data type of 10 in Python?,int,float,str,bool,A
125,Python,Basics,easy,What is the extension of Python files?,.py,.p,.python,.pt,A
126,Python,Basics,easy,Keyword to define function?,func,define,def,function,C
127,Python,Basics,easy,Python uses which indentation rule?,Curly braces,Indentation spaces,Semicolon,Parentheses,B
128,Python,Basics,easy,Output of print(2**3)?,6,8,9,5,B
129,Python,Basics,easy,Which is immutable type?,List,Tuple,Dict,Set,B
130,Python,Basics,easy,Function to get user input?,read(),scan(),input(),get(),C
131,Python,Basics,easy,Keyword for condition checking?,for,if,when,test,B
132,Python,Basics,easy,How many keywords are there (approx)?,30+,33,50,10,B
133,Python,Basics,easy,Which function gives length of a list?,len(),count(),size(),length(),A
134,Python,Basics,easy,What does break do?,Exit loop,Pause loop,Restart loop,None,A
135,Python,Basics,easy,What is the output of type([])?,list,tuple,dict,set,A
136,Python,Control Flow,moderate_1,Which loop runs till condition false?,while,for,do-while,loop,A
137,Python,Control Flow,moderate_1,Output of 3==3.0?,TRUE,FALSE,Error,None,A
138,Python,Control Flow,moderate_1,elif used for?,Else-if condition,Loop,Function,Exception,A
139,Python,Control Flow,moderate_1,Which returns multiple values?,list,tuple,both,none,C
140,Python,Functions,moderate_1,Default parameter defined using?,=,:,->,==,A
141,Python,Functions,moderate_1,return keyword used to?,Exit loop,Return value,End program,Print value,B
142,Python,Functions,moderate_1,Function without return gives?,None,0,FALSE,Error,A
143,Python,DataTypes,moderate_1,Dictionary stores data as?,Key-value pairs,Sequential,Indexed,Unordered values,A
144,Python,DataTypes,moderate_1,Remove element from list?,remove(),delete(),pop(),both A and C,D
145,Python,Strings,moderate_1,String slicing uses?,[],{},(),<>,A
146,Python,Strings,moderate_1,'a' * 3 gives?,aaa,error,333,a3,A
147,Python,Strings,moderate_1,'Python'.upper() returns?,python,PYTHON,error,None,B
148,Python,File Handling,moderate_1,Function to open file?,open(),read(),file(),os.open(),A
149,Python,File Handling,moderate_1,File opened using mode 'w' means?,write,read,append,both,A
150,Python,File Handling,moderate_1,To close file use?,stop(),end(),close(),exit(),C
151,Python,OOP,moderate_2,Keyword to define class?,class,def,object,struct,A
152,Python,OOP,moderate_2,Method __init__() is?,Constructor,Destructor,Operator,Private method,A
153,Python,OOP,moderate_2,self keyword refers to?,Current object,Parent class,Variable,None,A
154,Python,OOP,moderate_2,Inheritance in Python uses?,extends,inherits,super,class(Sub),D
155,Python,OOP,moderate_2,isinstance() used for?,Check type,Compare values,Convert type,None,A
156,Python,Exception,moderate_2,Try-except used for?,Error handling,Function call,Loops,Input,A
157,Python,Exception,moderate_2,Raise exception using?,raise,throw,except,try,A
158,Python,Exception,moderate_2,finally executes?,Always,Never,Only error,None,A
159,Python,Exception,moderate_2,Multiple exceptions handled by?,"except (E1,E2)",multiple try,nested try,None,A
160,Python,Exception,moderate_2,assert used for?,Testing condition,Loop,I/O,None,A
161,Python,Advanced,hard,Generator created with?,yield,return,gen,next,A
162,Python,Advanced,hard,Decorators modify?,Functions,Classes,Modules,None,A
163,Python,Advanced,hard,Iterator requires?,"iter, next","next(), for()",loop,run(),A
164,Python,Advanced,hard,Lambda function used for?,Anonymous functions,Classes,Loops,None,A
165,Python,Advanced,hard,Map function applies?,Function to iterable,Iterable to function,None,A,B
166,Python,Advanced,hard,Filter() used for?,Filter elements by condition,Sort list,Remove duplicates,None,A
167,Python,Advanced,hard,Reduce() is in which module?,functools,itertools,math,sys,A
168,Python,Advanced,hard,Output of bool('')?,FALSE,TRUE,Error,None,A
169,Python,Advanced,hard,Global variables declared using?,global,var,static,None,A
170,Python,Advanced,hard,Which is mutable?,list,tuple,str,int,A
171,Python,NumPy,hard,NumPy used for?,Numerical computation,Web apps,Databases,AI only,A
172,Python,NumPy,hard,NumPy array created with?,np.array(),np.create(),np.list(),np.arr(),A
173,Python,Pandas,hard,Pandas used for?,Data analysis,Graphics,AI,Math,A
174,Python,Pandas,hard,Pandas DataFrame is?,2D table,1D array,Matrix,None,A
